"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1983","FN","1984","FN","1985","FN","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"3","3.3","3.3.1","C030301","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","SH_HIV_INCD","SD","Estimated HIV incidence rate","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 uninfected population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.66","E, 11, 84","","","","","","","","","0.46","E, 16, 84","","","","","","","","","0.40","E, 21, 84","","","","","","","","","0.37","E, 26, 84","","","",""
"3","3.3","3.3.1","C030301","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","SH_HIV_INCD","SD","Estimated HIV incidence rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 uninfected population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","E, 11, 84","","","","","","","","","0.40","E, 16, 84","","","","","","","","","0.33","E, 21, 84","","","","","","","","","0.30","E, 26, 84","","","",""
"3","3.3","3.3.1","C030301","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","SH_HIV_INCD","SD","Estimated HIV incidence rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Per 1,000 uninfected population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.55","E, 11, 84","","","","","","","","","0.40","E, 16, 84","","","","","","","","","0.33","E, 21, 84","","","","","","","","","0.28","E, 26, 84","","","",""
"3","3.3","3.3.1","C030301","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","SH_HIV_INCD","SD","Estimated HIV incidence rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Per 1,000 uninfected population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","E, 11, 84","","","","","","","","","0.41","E, 16, 84","","","","","","","","","0.34","E, 21, 84","","","","","","","","","0.31","E, 26, 84","","","",""
"3","3.3","3.3.1","C030301","Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","SH_HIV_INCD","SD","Estimated HIV incidence rate","","MDG_WORLD","World","","","","Annual","Not available","under 15 years old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 uninfected population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.28","E, 11, 84","","","","","","","","","0.26","E, 16, 84","","","","","","","","","0.17","E, 21, 84","","","","","","","","","0.08","E, 26, 84","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.00","E, 11, 85, 146","172.00","E, 12, 85, 146","172.00","E, 13, 85, 146","172.00","E, 14, 85, 146","170.00","E, 15, 85, 146","169.00","E, 16, 85, 146","166.00","E, 17, 85, 146","164.00","E, 18, 85, 146","161.00","E, 19, 85, 146","159.00","E, 20, 85, 146","155.00","E, 21, 85, 146","153.00","E, 22, 85, 146","150.00","E, 23, 85, 146","147.00","E, 24, 85, 146","144.00","E, 25, 85, 146","142.00","E, 26, 85, 146","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144.00","E, 11, 85, 146","144.00","E, 12, 85, 146","144.00","E, 13, 85, 146","143.00","E, 14, 85, 146","142.00","E, 15, 85, 146","141.00","E, 16, 85, 146","139.00","E, 17, 85, 146","137.00","E, 18, 85, 146","135.00","E, 19, 85, 146","133.00","E, 20, 85, 146","130.00","E, 21, 85, 146","128.00","E, 22, 85, 146","126.00","E, 23, 85, 146","124.00","E, 24, 85, 146","121.00","E, 25, 85, 146","119.00","E, 26, 85, 146","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","204.00","E, 11, 85, 146","204.00","E, 12, 85, 146","203.00","E, 13, 85, 146","203.00","E, 14, 85, 146","201.00","E, 15, 85, 146","199.00","E, 16, 85, 146","197.00","E, 17, 85, 146","193.00","E, 18, 85, 146","190.00","E, 19, 85, 146","187.00","E, 20, 85, 146","183.00","E, 21, 85, 146","180.00","E, 22, 85, 146","176.00","E, 23, 85, 146","173.00","E, 24, 85, 146","169.00","E, 25, 85, 146","166.00","E, 26, 85, 146","","","",""
"3","3.3","3.3.3","C030303","Malaria incidence per 1,000 population","SH_STA_MALR","SD","Malaria incidence per 1,000 population","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.11","E, 11, 86","","","","","","","","","141.25","E, 16, 86","","","","","","","","","118.74","E, 21, 86","","","","","","","","","93.95","E, 26, 86","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CANCER","+","Number of deaths attributed to cancer","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,704.93","11, 87","","","","","","","","","3,929.44","16, 87","","","","","","","","","4,094.38","21, 87","","","","","","","","","4,444.55","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CANCER","+","Number of deaths attributed to cancer","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Female","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,639.74","11, 87","","","","","","","","","1,739.98","16, 87","","","","","","","","","1,794.28","21, 87","","","","","","","","","1,932.76","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CANCER","+","Number of deaths attributed to cancer","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Male","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,065.20","11, 87","","","","","","","","","2,189.46","16, 87","","","","","","","","","2,300.10","21, 87","","","","","","","","","2,511.79","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CARDIO","+","Number of deaths attributed to cardiovascular disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Male","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3,099.20","11, 87","","","","","","","","","3,281.43","16, 87","","","","","","","","","3,450.12","21, 87","","","","","","","","","3,765.86","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CARDIO","+","Number of deaths attributed to cardiovascular disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Female","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2,053.62","11, 87","","","","","","","","","2,154.72","16, 87","","","","","","","","","2,242.41","21, 87","","","","","","","","","2,442.11","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CARDIO","+","Number of deaths attributed to cardiovascular disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5,152.82","11, 87","","","","","","","","","5,436.15","16, 87","","","","","","","","","5,692.54","21, 87","","","","","","","","","6,207.97","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CRESPD","+","Number of deaths attributed to chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1,199.82","11, 87","","","","","","","","","1,073.89","16, 87","","","","","","","","","1,022.99","21, 87","","","","","","","","","1,110.74","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CRESPD","+","Number of deaths attributed to chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Female","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","497.39","11, 87","","","","","","","","","445.29","16, 87","","","","","","","","","424.28","21, 87","","","","","","","","","460.63","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_CRESPD","+","Number of deaths attributed to chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Male","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","702.43","11, 87","","","","","","","","","628.60","16, 87","","","","","","","","","598.70","21, 87","","","","","","","","","650.11","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_DIABTS","+","Number of deaths attributed to diabetes","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Male","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220.13","11, 87","","","","","","","","","254.23","16, 87","","","","","","","","","290.06","21, 87","","","","","","","","","341.10","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_DIABTS","+","Number of deaths attributed to diabetes","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Female","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224.58","11, 87","","","","","","","","","256.57","16, 87","","","","","","","","","292.07","21, 87","","","","","","","","","341.88","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_DIABTS","+","Number of deaths attributed to diabetes","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","444.71","11, 87","","","","","","","","","510.80","16, 87","","","","","","","","","582.12","21, 87","","","","","","","","","682.98","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_NCOM","SD","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Both sexes or no breakdown by sex","","Probability","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.67","11, 87","","","","","","","","","21.25","16, 87","","","","","","","","","19.78","21, 87","","","","","","","","","18.75","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_NCOM","SD","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Female","","Probability","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.90","11, 87","","","","","","","","","17.73","16, 87","","","","","","","","","16.43","21, 87","","","","","","","","","15.51","26, 87","","","",""
"3","3.4","3.4.1","C030401","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","SH_DTH_NCOM","SD","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","","MDG_WORLD","World","","","","Annual","Not available","30 to exact 70 years old","Total (national level)","Male","","Probability","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.49","11, 87","","","","","","","","","24.80","16, 87","","","","","","","","","23.16","21, 87","","","","","","","","","22.04","26, 87","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDE","SD","Suicide mortality rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.22","NA, 11, 89","","","","","","","","","11.61","NA, 16, 89","","","","","","","","","11.23","NA, 21, 89","","","","","","","","","10.73","NA, 26, 89","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDE","SD","Suicide mortality rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.55","NA, 11, 89","","","","","","","","","14.67","NA, 16, 89","","","","","","","","","14.16","NA, 21, 89","","","","","","","","","13.61","NA, 26, 89","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDE","SD","Suicide mortality rate","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.84","NA, 11, 89","","","","","","","","","8.51","NA, 16, 89","","","","","","","","","8.26","NA, 21, 89","","","","","","","","","7.80","NA, 26, 89","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDEN","+","Number of deaths attributed to suicide","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268.88","11, 88","","","","","","","","","275.09","16, 88","","","","","","","","","283.43","21, 88","","","","","","","","","283.87","26, 88","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDEN","+","Number of deaths attributed to suicide","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479.40","11, 88","","","","","","","","","481.64","16, 88","","","","","","","","","494.52","21, 88","","","","","","","","","504.22","26, 88","","","",""
"3","3.4","3.4.2","C030402","Suicide mortality rate","SH_STA_SCIDEN","+","Number of deaths attributed to suicide","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","748.28","11, 88","","","","","","","","","756.72","16, 88","","","","","","","","","777.95","21, 88","","","","","","","","","788.09","26, 88","","","",""
"3","3.5","3.5.2","C030502","Harmful use of alcohol, defined according to the national context as alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","SH_ALC_CONSPT","SD","Alcohol per capita consumption (aged 15 years and older) within a calendar year in litres of pure alcohol","","MDG_WORLD","World","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Litres pure alcohol","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.44","27, 90","",""
"3","3.6","3.6.1","C030601","Death rate due to road traffic injuries","SH_STA_TRAF","SD","Death rate due to road traffic injuries","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.00","E, 11, 91","","","","","","","","","18.80","E, 16, 91","","","","","","","","","18.00","E, 21, 91","","","","","17.40","E, 24, 91","","","","","","","",""
"3","3.7","3.7.1","C030701","Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","SH_FPL_MTMM","+","Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods","","MDG_WORLD","World","","","","Annual","Not available","15 to 49 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.90","E, 11, 92","","","","","","","","","76.10","E, 16, 92","","","","","","","","","76.90","E, 21, 92","","","","","","","","","77.60","E, 26, 92","","","77.80","E, 64, 92"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","","MDG_WORLD","World","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.00","11, 93","","","","","","","","","50.50","16, 93","","","","","","","","","47.20","21, 93","","","","","","","","","44.10","26, 93","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_AAP_MORT","SD","Mortality rate attributed to household and ambient air pollution","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.35","E, 23, 94","","","","","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_HAP_MORT","SD","Mortality rate attributed to household and ambient air pollution","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.35","E, 23, 94","","","","","","","","","",""
"3","3.9","3.9.1","C030901","Mortality rate attributed to household and ambient air pollution","SH_STA_AIRP","SD","Mortality rate attributed to household and ambient air pollution","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.40","E, 23, 94","","","","","","","","","",""
"3","3.9","3.9.2","C030902","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)","SH_STA_WASH","SD","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.40","E, 23, 95","","","","","","","","","",""
"3","3.9","3.9.3","C030903","Mortality rate attributed to unintentional poisoning","SH_STA_POISN","SD","Mortality rate attributed to unintentional poisonings","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18","11, 96","","","","","","","","","1.83","16, 96","","","","","","","","","1.60","21, 96","","","","","","","","","1.47","26, 96","","","",""
"3","3.9","3.9.3","C030903","Mortality rate attributed to unintentional poisoning","SH_STA_POISN","SD","Mortality rate attributed to unintentional poisonings","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.67","11, 96","","","","","","","","","1.51","16, 96","","","","","","","","","1.41","21, 96","","","","","","","","","1.32","26, 96","","","",""
"3","3.9","3.9.3","C030903","Mortality rate attributed to unintentional poisoning","SH_STA_POISN","SD","Mortality rate attributed to unintentional poisonings","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.68","11, 96","","","","","","","","","2.14","16, 96","","","","","","","","","1.79","21, 96","","","","","","","","","1.61","26, 96","","","",""
"4","4.2","4.2.1","C040201","Proportion of children under 5 years of age who are developmentally on track in health, learning and psychosocial well-being, by sex","SE_DEV_ONTRK","+","Percentage of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development and learning","","MDG_WORLD","World","","","","Annual","Not available","36 to 59 months old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.10","E, 27, 98, 147","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.69","E, 14, 99, 148","56.51","E, 15, 99, 148","57.42","E, 16, 99, 148","58.66","E, 17, 99, 148","59.07","E, 18, 99, 148","58.89","E, 19, 99, 148","59.41","E, 20, 99, 148","60.44","E, 21, 99, 148","62.64","E, 22, 99, 148","64.64","E, 23, 99, 148","65.20","E, 24, 99, 148","66.59","E, 25, 99, 148","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.60","E, 14, 99, 148","56.50","E, 15, 99, 148","57.32","E, 16, 99, 148","58.60","E, 17, 99, 148","59.04","E, 18, 99, 148","59.00","E, 19, 99, 148","59.51","E, 20, 99, 148","60.63","E, 21, 99, 148","62.77","E, 22, 99, 148","64.74","E, 23, 99, 148","65.15","E, 24, 99, 148","66.27","E, 25, 99, 148","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.52","E, 15, 99, 148","57.52","E, 16, 99, 148","58.72","E, 17, 99, 148","59.10","E, 18, 99, 148","58.78","E, 19, 99, 148","59.31","E, 20, 99, 148","60.25","E, 21, 99, 148","62.53","E, 22, 99, 148","64.53","E, 23, 99, 148","65.26","E, 24, 99, 148","66.91","E, 25, 99, 148","","","","","",""
"5","5.2","5.2.1","C050201","Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age","VC_VAW_MARR","SD","Proportion of ever-partnered women and girls aged 15 to 49 years subjected to physical or sexual violence by a current or former intimate partner in the previous 12 months","","MDG_WORLD","World","","","","Annual","Not available","15 to 49 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.96","E, 27, 100, 149","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF15","SD","Proportion of women aged 20-24 years who were married by age 15","","MDG_WORLD","World","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.03","E, 11, 101, 150","","","","","","","","","10.54","E, 16, 101, 150","","","","","","","","","9.44","E, 21, 101, 150","","","","","","","","","7.51","E, 26, 101, 150","","","",""
"5","5.3","5.3.1","C050301","Proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18","SP_DYN_MRBF18","SD","Proportion of women aged 20-24 years who were married by age 18","","MDG_WORLD","World","","","","Annual","Not available","20 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.64","E, 11, 101, 150","","","","","","","","","31.74","E, 16, 101, 150","","","","","","","","","28.63","E, 21, 101, 150","","","","","","","","","26.69","E, 26, 101, 150","","","",""
"5","5.3","5.3.2","C050302","Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age","SH_STA_FGMS","+","Proportion of girls who have undergone FGM/C","","MDG_WORLD","World","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.84","E, 11, 101, 151","","","","","","","","","42.96","E, 16, 101, 151","","","","","","","","","39.69","E, 21, 101, 152","","","","","","","","","34.81","E, 26, 101, 153","","","",""
"5","5.5","5.5.1","C050501","Proportion of seats held by women in (a) national parliaments and (b) local governments","SG_GEN_PARL","SD","Proportion of seats held by women in national parliaments","","MDG_WORLD","World","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.34","C, 11, 102, 154","13.87","C, 12, 102, 154","14.25","C, 13, 102, 154","15.12","C, 14, 102, 154","15.21","C, 15, 102, 154","15.94","C, 16, 102, 154","16.57","C, 17, 102, 154","17.14","C, 18, 102, 154","17.99","C, 19, 102, 154","18.51","C, 20, 102, 154","19.03","C, 21, 102, 154","19.34","C, 22, 102, 154","19.60","C, 23, 102, 154","20.76","C, 24, 102, 154","22.06","C, 25, 102, 154","22.27","C, 26, 102, 154","22.74","C, 27, 102, 154","23.39","C, 64, 102, 154"
